conference,url,title,authors,abstract,citations
acl,https://aclanthology.org/P15-1001.pdf,On Using Very Large Target Vocabulary for Neural Machine Translation,"Sébastien Jean,Kyunghyun Cho,Roland Memisevic,Yoshua Bengio",None,976
acl,https://aclanthology.org/P15-1002.pdf,Addressing the Rare Word Problem in Neural Machine Translation,"Thang Luong,Ilya Sutskever,Quoc Le,Oriol Vinyals,Wojciech Zaremba",None,799
acl,https://aclanthology.org/P15-1003.pdf,Encoding Source Language with Convolutional Neural Network for Machine Translation,"Fandong Meng,Zhengdong Lu,Mingxuan Wang,Hang Li,Wenbin Jiang,Qun Liu",None,114
acl,https://aclanthology.org/P15-1004.pdf,Statistical Machine Translation Features with Multitask Tensor Networks,"Hendra Setiawan,Zhongqiang Huang,Jacob Devlin,Thomas Lamar,Rabih Zbib,Richard Schwartz,John Makhoul",None,20
acl,https://aclanthology.org/P15-1005.pdf,Describing Images using Inferred Visual Dependency Representations,"Desmond Elliott,Arjen de Vries",None,50
acl,https://aclanthology.org/P15-1006.pdf,Text to 3D Scene Generation with Rich Lexical Grounding,"Angel Chang,Will Monroe,Manolis Savva,Christopher Potts,Christopher D. Manning",None,90
acl,https://aclanthology.org/P15-1007.pdf,MultiGranCNN: An Architecture for General Matching of Text Chunks on Multiple Levels of Granularity,"Wenpeng Yin,Hinrich Schütze",None,67
acl,https://aclanthology.org/P15-1008.pdf,Weakly Supervised Models of Aspect-Sentiment for Online Course Discussion Forums,"Arti Ramesh,Shachi H. Kumar,James Foulds,Lise Getoor",None,70
acl,https://aclanthology.org/P15-1009.pdf,Semantically Smooth Knowledge Graph Embedding,"Shu Guo,Quan Wang,Bin Wang,Lihong Wang,Li Guo",None,127
acl,https://aclanthology.org/P15-1010.pdf,SensEmbed: Learning Sense Embeddings for Word and Relational Similarity,"Ignacio Iacobacci,Mohammad Taher Pilehvar,Roberto Navigli",None,317
acl,https://aclanthology.org/P15-1011.pdf,Revisiting Word Embedding for Contrasting Meaning,"Zhigang Chen,Wei Lin,Qian Chen,Xiaoping Chen,Si Wei,Hui Jiang,Xiaodan Zhu",None,52
acl,https://aclanthology.org/P15-1012.pdf,Joint Models of Disagreement and Stance in Online Debate,"Dhanya Sridhar,James Foulds,Bert Huang,Lise Getoor,Marilyn Walker",None,132
acl,https://aclanthology.org/P15-1013.pdf,Low-Rank Regularization for Sparse Conjunctive Feature Spaces: An Application to Named Entity Classification,"Audi Primadhanty,Xavier Carreras,Ariadna Quattoni",None,8
acl,https://aclanthology.org/P15-1014.pdf,Learning Word Representations by Jointly Modeling Syntagmatic and Paradigmatic Relations,"Fei Sun,Jiafeng Guo,Yanyan Lan,Jun Xu,Xueqi Cheng",None,65
acl,https://aclanthology.org/P15-1015.pdf,Learning Dynamic Feature Selection for Fast Sequential Prediction,"Emma Strubell,Luke Vilnis,Kate Silverstein,Andrew McCallum",None,17
acl,https://aclanthology.org/P15-1016.pdf,Compositional Vector Space Models for Knowledge Base Completion,"Arvind Neelakantan,Benjamin Roth,Andrew McCallum",None,243
acl,https://aclanthology.org/P15-1017.pdf,Event Extraction via Dynamic Multi-Pooling Convolutional Neural Networks,"Yubo Chen,Liheng Xu,Kang Liu,Daojian Zeng,Jun Zhao",None,570
acl,https://aclanthology.org/P15-1018.pdf,Stacked Ensembles of Information Extractors for Knowledge-Base Population,"Vidhoon Viswanathan,Nazneen Fatema Rajani,Yinon Bentor,Raymond Mooney",None,40
acl,https://aclanthology.org/P15-1019.pdf,Generative Event Schema Induction with Entity Disambiguation,"Kiem-Hieu Nguyen,Xavier Tannier,Olivier Ferret,Romaric Besançon",None,63
acl,https://aclanthology.org/P15-1020.pdf,Syntax-based Simultaneous Translation through Prediction of Unseen Syntactic Constituents,"Yusuke Oda,Graham Neubig,Sakriani Sakti,Tomoki Toda,Satoshi Nakamura",None,35
acl,https://aclanthology.org/P15-1021.pdf,Efficient Top-Down BTG Parsing for Machine Translation Preordering,Tetsuji Nakagawa,None,36
acl,https://aclanthology.org/P15-1022.pdf,Online Multitask Learning for Machine Translation Quality Estimation,"José G. C. de Souza,Matteo Negri,Elisa Ricci,Marco Turchi",None,21
acl,https://aclanthology.org/P15-1023.pdf,A Context-Aware Topic Model for Statistical Machine Translation,"Jinsong Su,Deyi Xiong,Yang Liu,Xianpei Han,Hongyu Lin,Junfeng Yao,Min Zhang",None,15
acl,https://aclanthology.org/P15-1024.pdf,Learning Answer-Entailing Structures for Machine Comprehension,"Mrinmaya Sachan,Kumar Dubey,Eric Xing,Matthew Richardson",None,73
acl,https://aclanthology.org/P15-1025.pdf,Learning Continuous Word Embedding with Metadata for Question Retrieval in Community Question Answering,"Guangyou Zhou,Tingting He,Jun Zhao,Po Hu",None,193
acl,https://aclanthology.org/P15-1026.pdf,Question Answering over Freebase with Multi-Column Convolutional Neural Networks,"Li Dong,Furu Wei,Ming Zhou,Ke Xu",None,415
acl,https://aclanthology.org/P15-1027.pdf,Hubness and Pollution: Delving into Cross-Space Mapping for Zero-Shot Learning,"Angeliki Lazaridou,Georgiana Dinu,Marco Baroni",None,199
acl,https://aclanthology.org/P15-1028.pdf,A Generalisation of Lexical Functions for Composition in Distributional Semantics,"Antoine Bride,Tim Van de Cruys,Nicholas Asher",None,17
acl,https://aclanthology.org/P15-1029.pdf,Simple Learning and Compositional Application of Perceptually Grounded Word Meanings for Incremental Reference Resolution,"Casey Kennington,David Schlangen",None,75
acl,https://aclanthology.org/P15-1030.pdf,Neural CRF Parsing,"Greg Durrett,Dan Klein",None,134
acl,https://aclanthology.org/P15-1031.pdf,An Effective Neural Network Model for Graph-based Dependency Parsing,"Wenzhe Pei,Tao Ge,Baobao Chang",None,68
acl,https://aclanthology.org/P15-1032.pdf,Structured Training for Neural Network Transition-Based Parsing,"David Weiss,Chris Alberti,Michael Collins,Slav Petrov",None,260
acl,https://aclanthology.org/P15-1033.pdf,Transition-Based Dependency Parsing with Stack Long Short-Term Memory,"Chris Dyer,Miguel Ballesteros,Wang Ling,Austin Matthews,Noah A. Smith",None,888
acl,https://aclanthology.org/P15-1034.pdf,Leveraging Linguistic Structure For Open Domain Information Extraction,"Gabor Angeli,Melvin Jose Johnson Premkumar,Christopher D. Manning",None,602
acl,https://aclanthology.org/P15-1035.pdf,Joint Information Extraction and Reasoning: A Scalable Statistical Relational Learning Approach,"William Yang Wang,William W. Cohen",None,19
acl,https://aclanthology.org/P15-1036.pdf,A Knowledge-Intensive Model for Prepositional Phrase Attachment,"Ndapandula Nakashole,Tom M. Mitchell",None,23
acl,https://aclanthology.org/P15-1037.pdf,A Convolution Kernel Approach to Identifying Comparisons in Text,"Maksim Tkachenko,Hady Lauw",None,10
acl,https://aclanthology.org/P15-1038.pdf,It Depends: Dependency Parser Comparison Using A Web-based Evaluation Tool,"Jinho D. Choi,Joel Tetreault,Amanda Stent",None,176
acl,https://aclanthology.org/P15-1039.pdf,Generating High Quality Proposition Banks for Multilingual Semantic Role Labeling,"Alan Akbik,Laura Chiticariu,Marina Danilevsky,Yunyao Li,Shivakumar Vaithyanathan,Huaiyu Zhu",None,57
acl,https://aclanthology.org/P15-1040.pdf,Aligning Opinions: Cross-Lingual Opinion Mining with Dependencies,"Mariana S. C. Almeida,Cláudia Pinto,Helena Figueira,Pedro Mendes,André F. T. Martins",None,19
acl,https://aclanthology.org/P15-1041.pdf,Learning to Adapt Credible Knowledge in Cross-lingual Sentiment Analysis,"Qiang Chen,Wenjie Li,Yu Lei,Xule Liu,Yanxiang He",None,31
acl,https://aclanthology.org/P15-1042.pdf,Learning Bilingual Sentiment Word Embeddings for Cross-language Sentiment Classification,"HuiWei Zhou,Long Chen,Fulin Shi,Degen Huang",None,75
acl,https://aclanthology.org/P15-1043.pdf,Content Models for Survey Generation: A Factoid-Based Evaluation,"Rahul Jha,Catherine Finegan-Dollak,Ben King,Reed Coke,Dragomir Radev",None,13
acl,https://aclanthology.org/P15-1044.pdf,Training a Natural Language Generator From Unaligned Data,"Ondřej Dušek,Filip Jurčíček",None,44
acl,https://aclanthology.org/P15-1045.pdf,Event-Driven Headline Generation,"Rui Sun,Yue Zhang,Meishan Zhang,Donghong Ji",None,31
acl,https://aclanthology.org/P15-1046.pdf,New Transfer Learning Techniques for Disparate Label Sets,"Young-Bum Kim,Karl Stratos,Ruhi Sarikaya,Minwoo Jeong",None,67
acl,https://aclanthology.org/P15-1047.pdf,Matrix Factorization with Knowledge Graph Propagation for Unsupervised Spoken Language Understanding,"Yun-Nung Chen,William Yang Wang,Anatole Gershman,Alexander Rudnicky",None,39
acl,https://aclanthology.org/P15-1048.pdf,Efficient Disfluency Detection with Transition-based Parsing,"Shuangzhi Wu,Dongdong Zhang,Ming Zhou,Tiejun Zhao",None,20
acl,https://aclanthology.org/P15-1049.pdf,S-MART: Novel Tree-based Structured Learning Algorithms Applied to Tweet Entity Linking,"Yi Yang,Ming-Wei Chang",None,116
acl,https://aclanthology.org/P15-1050.pdf,Entity Retrieval via Entity Factoid Hierarchy,"Chunliang Lu,Wai Lam,Yi Liao",None,10
acl,https://aclanthology.org/P15-1051.pdf,Encoding Distributional Semantics into Triple-Based Knowledge Ranking for Document Enrichment,"Muyu Zhang,Bing Qin,Mao Zheng,Graeme Hirst,Ting Liu",None,11
acl,https://aclanthology.org/P15-1052.pdf,A Strategic Reasoning Model for Generating Alternative Answers,"Jon Stevens,Anton Benz,Sebastian Reuße,Ralf Klabunde",None,5
acl,https://aclanthology.org/P15-1053.pdf,Modeling Argument Strength in Student Essays,"Isaac Persing,Vincent Ng",None,141
acl,https://aclanthology.org/P15-1054.pdf,Summarization of Multi-Document Topic Hierarchies using Submodular Mixtures,"Ramakrishna Bairi,Rishabh Iyer,Ganesh Ramakrishnan,Jeff Bilmes",None,32
acl,https://aclanthology.org/P15-1055.pdf,Learning to Explain Entity Relationships in Knowledge Graphs,"Nikos Voskarides,Edgar Meij,Manos Tsagkias,Maarten de Rijke,Wouter Weerkamp",None,64
acl,https://aclanthology.org/P15-1056.pdf,Bring you to the past: Automatic Generation of Topically Relevant Event Chronicles,"Tao Ge,Wenzhe Pei,Heng Ji,Sujian Li,Baobao Chang,Zhifang Sui",None,23
acl,https://aclanthology.org/P15-1057.pdf,Context-aware Entity Morph Decoding,"Boliang Zhang,Hongzhao Huang,Xiaoman Pan,Sujian Li,Chin-Yew Lin,Heng Ji,Kevin Knight,Zhen Wen,Yizhou Sun,Jiawei Han,Bulent Yener",None,16
acl,https://aclanthology.org/P15-1058.pdf,Multi-Objective Optimization for the Joint Disambiguation of Nouns and Named Entities,"Dirk Weissenborn,Leonhard Hennig,Feiyu Xu,Hans Uszkoreit",None,47
acl,https://aclanthology.org/P15-1059.pdf,Building a Scientific Concept Hierarchy Database (SCHBase),"Eytan Adar,Srayan Datta",None,16
acl,https://aclanthology.org/P15-1060.pdf,Sentiment-Aspect Extraction based on Restricted Boltzmann Machines,"Linlin Wang,Kang Liu,Zhu Cao,Jun Zhao,Gerard de Melo",None,62
acl,https://aclanthology.org/P15-1061.pdf,Classifying Relations by Ranking with Convolutional Neural Networks,"Cícero dos Santos,Bing Xiang,Bowen Zhou",None,547
acl,https://aclanthology.org/P15-1062.pdf,Semantic Representations for Domain Adaptation: A Case Study on the Tree Kernel-based Method for Relation Extraction,"Thien Huu Nguyen,Barbara Plank,Ralph Grishman",None,39
acl,https://aclanthology.org/P15-1063.pdf,"Omnia Mutantur, Nihil Interit: Connecting Past with Present by Finding Corresponding Terms across Time","Yating Zhang,Adam Jatowt,Sourav Bhowmick,Katsumi Tanaka",None,48
acl,https://aclanthology.org/P15-1064.pdf,Negation and Speculation Identification in Chinese Language,"Bowei Zou,Qiaoming Zhu,Guodong Zhou",None,25
acl,https://aclanthology.org/P15-1065.pdf,Learning Relational Features with Backward Random Walks,"Ni Lao,Einat Minkov,William Cohen",None,34
acl,https://aclanthology.org/P15-1066.pdf,Learning the Semantics of Manipulation Action,"Yezhou Yang,Yiannis Aloimonos,Cornelia Fermüller,Eren Erdal Aksoy",None,22
acl,https://aclanthology.org/P15-1067.pdf,Knowledge Graph Embedding via Dynamic Mapping Matrix,"Guoliang Ji,Shizhu He,Liheng Xu,Kang Liu,Jun Zhao",None,1083
acl,https://aclanthology.org/P15-1068.pdf,How Far are We from Fully Automatic High Quality Grammatical Error Correction?,"Christopher Bryant,Hwee Tou Ng",None,61
acl,https://aclanthology.org/P15-1069.pdf,Knowledge Portability with Semantic Expansion of Ontology Labels,"Mihael Arcan,Marco Turchi,Paul Buitelaar",None,18
acl,https://aclanthology.org/P15-1070.pdf,Automatic disambiguation of English puns,"Tristan Miller,Iryna Gurevych",None,62
acl,https://aclanthology.org/P15-1071.pdf,Unsupervised Cross-Domain Word Representation Learning,"Danushka Bollegala,Takanori Maehara,Ken-ichi Kawarabayashi",None,69
acl,https://aclanthology.org/P15-1072.pdf,A Unified Multilingual Semantic Representation of Concepts,"José Camacho-Collados,Mohammad Taher Pilehvar,Roberto Navigli",None,62
acl,https://aclanthology.org/P15-1073.pdf,Demographic Factors Improve Classification Performance,Dirk Hovy,None,150
acl,https://aclanthology.org/P15-1074.pdf,Vector-space calculation of semantic surprisal for predicting word pronunciation duration,"Asad Sayeed,Stefan Fischer,Vera Demberg",None,11
acl,https://aclanthology.org/P15-1075.pdf,Efficient Methods for Inferring Large Sparse Topic Hierarchies,"Doug Downey,Chandra Bhagavatula,Yi Yang",None,14
acl,https://aclanthology.org/P15-1076.pdf,Trans-dimensional Random Fields for Language Modeling,"Bin Wang,Zhijian Ou,Zhiqiang Tan",None,14
acl,https://aclanthology.org/P15-1077.pdf,Gaussian LDA for Topic Models with Word Embeddings,"Rajarshi Das,Manzil Zaheer,Chris Dyer",None,352
acl,https://aclanthology.org/P15-1078.pdf,Pairwise Neural Machine Translation Evaluation,"Francisco Guzmán,Shafiq Joty,Lluís Màrquez,Preslav Nakov",None,40
acl,https://aclanthology.org/P15-1079.pdf,String-to-Tree Multi Bottom-up Tree Transducers,"Nina Seemann,Fabienne Braune,Andreas Maletti",None,10
acl,https://aclanthology.org/P15-1080.pdf,Non-linear Learning for Statistical Machine Translation,"Shujian Huang,Huadong Chen,Xin-Yu Dai,Jiajun Chen",None,5
acl,https://aclanthology.org/P15-1081.pdf,Unifying Bayesian Inference and Vector Space Models for Improved Decipherment,"Qing Dou,Ashish Vaswani,Kevin Knight,Chris Dyer",None,19
acl,https://aclanthology.org/P15-1082.pdf,Non-projective Dependency-based Pre-Reordering with Recurrent Neural Network for Machine Translation,"Antonio Valerio Miceli-Barone,Giuseppe Attardi",None,20
acl,https://aclanthology.org/P15-1083.pdf,Detecting Deceptive Groups Using Conversations and Network Analysis,"Dian Yu,Yulia Tyshchuk,Heng Ji,William Wallace",None,16
acl,https://aclanthology.org/P15-1084.pdf,WikiKreator: Improving Wikipedia Stubs Automatically,"Siddhartha Banerjee,Prasenjit Mitra",None,18
